SessionID,CustomerID,SessionDate,PageViews,BounceRate,TimeOnSite_Min
45,326,2022-05-10,3,0.71,11.56
46,3200,2020-11-08,9,0.37,2.26
47,707,2022-05-03,1,0.44,13.38
48,2453,2020-11-30,9,0.16,6.02
49,2250,2020-05-27,2,0.65,6.11
50,182,2022-12-09,7,0.16,6.9
51,2536,2021-06-13,10,0.81,14.72
52,1542,2021-10-19,4,0.44,11.45
53,1390,2020-06-15,5,0.43,1.2
54,2708,2023-03-18,6,0.35,10.74
55,645,2022-09-05,2,0.28,9.22
56,1858,2022-08-05,4,0.25,4.65
57,3920,2020-04-12,2,0.51,6.22
58,2513,2022-02-04,7,0.15,2.8
59,2763,2021-02-12,7,0.82,7.31
60,1452,2023-03-08,9,0.77,10.8
61,3500,2023-03-01,10,0.49,5.26
62,3025,2021-09-27,10,0.7,8.1
63,1059,2021-03-22,7,0.69,2.19
64,1887,2021-04-10,4,0.15,3.27
65,1378,2021-02-16,5,0.67,6.44
66,324,2021-10-15,3,0.71,12.39
67,1425,2020-05-13,7,0.3,4.29
68,1792,2020-09-22,3,0.49,6.68
69,3929,2021-12-16,2,0.49,3.85
70,3916,2021-01-17,10,0.17,12.56
71,1296,2022-01-15,4,0.47,10.55
72,733,2020-10-23,9,0.39,5.84
73,3179,2021-08-19,1,0.44,3.1
74,2757,2020-07-15,1,0.43,5.88
75,1834,2020-05-26,4,0.61,5.94
76,30,2021-07-30,6,0.41,11.24
77,890,2022-09-13,10,0.52,12.21
78,2257,2021-05-28,5,0.8,12.73
79,3547,2021-11-08,4,0.78,3.23
80,3985,2020-10-03,1,0.27,2.78
81,163,2022-04-24,3,0.67,5.26
82,161,2021-04-15,4,0.7,5.55
83,741,2020-05-26,6,0.77,2.13
84,416,2021-10-17,9,0.65,3.12
85,2259,2023-01-29,9,0.1,12.8
86,647,2020-07-25,6,0.5,14.79
87,3206,2021-09-07,2,0.55,3.8
88,1942,2020-09-04,2,0.18,14.02
89,557,2021-02-16,2,0.47,12.13
90,3081,2021-03-10,4,0.61,6.93
91,3814,2023-01-17,4,0.41,11.08
92,3890,2020-10-13,5,0.48,8.1
93,3129,2020-05-16,3,0.43,12.89
94,8,2022-10-07,9,0.32,1.14
95,590,2021-12-06,8,0.59,11.04
96,3631,2022-02-18,5,0.89,1.43
97,3578,2021-02-10,8,0.39,5.83
98,1862,2020-06-25,2,0.63,3.17
99,2610,2022-09-29,6,0.2,10.65
100,478,2020-11-19,7,0.46,2.37
101,1432,2021-06-30,1,0.75,12.6
102,3562,2020-04-01,1,0.4,8.02
103,16,2022-04-13,1,0.46,1.94
104,3477,2021-07-25,6,0.22,12.89
105,3546,2020-08-24,5,0.74,9.45
106,2950,2022-12-17,6,0.23,11.13
107,1137,2021-02-08,4,0.51,13.59
108,41,2021-09-08,2,0.36,4.87
109,1083,2022-08-29,8,0.5,4.76
110,544,2022-12-08,4,0.42,2.19
111,890,2023-02-21,8,0.43,5.85
112,2734,2022-01-12,3,0.87,10.84
113,2255,2022-01-05,2,0.77,10.18
114,2326,2021-09-07,10,0.63,1.33
115,2372,2021-04-07,10,0.34,12.98
116,3043,2021-04-03,5,0.25,12.93
117,1197,2022-08-24,6,0.47,12.67
118,1210,2020-06-17,7,0.16,13.34
119,636,2021-03-12,9,0.78,5.81
120,897,2021-11-18,1,0.72,14.39
121,1636,2021-03-16,10,0.78,10.76
122,179,2023-01-22,6,0.68,11.43
123,2307,2022-06-13,4,0.21,3.92
124,2261,2021-10-15,10,0.71,6.37
125,146,2022-04-17,2,0.56,4.99
126,2696,2021-06-06,8,0.12,6.36
127,2215,2021-02-06,6,0.64,6.74
128,68,2021-03-10,8,0.53,14.93
129,3276,2022-10-27,3,0.1,2.96
130,3474,2020-09-05,4,0.54,8.69
131,467,2022-10-01,3,0.11,13.78
132,3568,2021-08-11,7,0.42,7.67
133,3690,2022-05-24,8,0.23,1.24
134,1192,2020-05-01,4,0.34,4.5
135,1206,2023-03-28,7,0.39,7.76
136,1913,2020-04-19,2,0.56,10.75
137,214,2020-05-13,7,0.63,5.56
138,86,2022-08-07,4,0.57,7.85
139,3461,2021-07-08,6,0.31,12.46
140,3280,2020-09-06,10,0.3,6.49
141,1970,2021-11-30,1,0.57,11.4
142,3841,2020-11-06,5,0.89,13.52
143,2537,2023-02-23,8,0.7,4.38
144,1408,2021-11-07,6,0.51,8.04
145,2456,2022-04-29,2,0.15,3.25
146,1014,2021-10-13,2,0.21,9.26
147,1485,2020-06-08,7,0.77,6.87
148,3644,2020-08-22,5,0.89,11.88
149,1391,2021-07-26,1,0.55,8.22
150,1120,2022-01-29,1,0.78,11.91
151,538,2022-06-17,2,0.77,9.52
152,2889,2021-04-10,1,0.13,1.98
153,1341,2023-01-03,1,0.87,13.95
154,1833,2020-10-06,4,0.52,14.13
155,3045,2021-05-22,7,0.45,11.62
156,1960,2021-11-29,5,0.68,4.96
157,3864,2021-10-16,10,0.29,9.03
158,3425,2020-04-09,9,0.58,2.46
159,911,2020-04-28,10,0.52,14.25
160,912,2021-03-16,8,0.15,4.07
161,3362,2022-09-15,4,0.87,5.9
162,3212,2021-05-03,9,0.61,10.17
163,905,2022-12-10,6,0.6,2.45
164,3475,2021-10-28,1,0.26,5.95
165,762,2021-10-13,1,0.56,3.32
166,2188,2022-06-03,5,0.15,3.54
167,3793,2023-02-14,8,0.6,11.34
168,1933,2021-06-26,1,0.68,4.2
169,1860,2021-11-25,4,0.55,10.94
170,2427,2021-06-21,8,0.41,7.02
171,2811,2022-12-25,3,0.77,8.33
172,1097,2020-12-07,2,0.82,11.94
173,1069,2020-07-01,1,0.62,8.9
174,73,2020-08-30,9,0.27,7.46
175,30,2022-05-20,4,0.12,2.4
176,3297,2020-09-11,7,0.29,10.67
177,3346,2022-12-29,4,0.61,13.22
178,814,2022-10-16,1,0.24,11.53
179,2082,2020-05-04,9,0.23,1.06
180,765,2020-11-05,6,0.85,8.83
181,487,2021-02-26,6,0.19,4.13
182,429,2020-12-19,2,0.75,8.13
183,1081,2020-04-04,6,0.45,7.29
184,3098,2020-08-26,8,0.16,2.91
185,3895,2021-11-05,9,0.59,11.69
186,1572,2021-09-23,1,0.84,8.43
187,843,2020-09-11,6,0.74,4.78
188,2558,2022-10-20,9,0.6,13.71
189,1320,2022-06-21,1,0.27,1.18
190,2488,2022-07-30,8,0.52,2.55
191,1806,2022-10-26,5,0.71,7.61
192,523,2020-04-11,7,0.36,11.51
193,2408,2021-12-22,2,0.25,6.67
194,1373,2020-04-25,7,0.48,4.62
195,1794,2022-10-10,2,0.66,5.33
196,3808,2020-09-22,8,0.39,3.49
197,257,2022-04-26,5,0.88,5.16
198,1603,2021-09-25,9,0.22,12.98
199,3492,2020-05-21,7,0.62,14.27
200,3291,2022-03-11,1,0.67,12.43
201,2882,2021-09-16,2,0.71,2.44
202,1073,2020-10-04,6,0.69,7.67
203,792,2022-09-16,4,0.53,5.82
204,1957,2020-12-07,8,0.44,11.3
205,2947,2021-11-27,1,0.62,1.84
206,3519,2022-03-18,9,0.11,9.52
207,3976,2022-04-06,9,0.69,14.89
208,3732,2022-12-11,4,0.31,5.53
209,539,2021-10-03,3,0.71,5.48
210,2281,2020-05-03,1,0.3,9.76
211,2205,2021-06-10,7,0.26,4.37
212,385,2021-12-15,9,0.56,4.42
213,3947,2020-08-25,6,0.21,11.77
214,585,2021-11-30,1,0.37,5.44
215,3366,2023-01-01,8,0.78,14.14
216,1315,2020-12-04,7,0.25,8.61
217,2659,2023-01-24,3,0.87,14.94
218,1115,2020-11-12,8,0.17,2.54
219,338,2023-02-11,7,0.72,11.01
220,3054,2022-12-17,7,0.56,7.48
221,2595,2022-06-10,8,0.43,12.28
222,3729,2022-12-01,8,0.12,10.58
223,2867,2021-06-15,5,0.48,11.6
224,2707,2021-01-30,7,0.52,8.99
225,1006,2022-10-26,2,0.74,3.17
226,328,2023-02-11,5,0.17,12.12
227,3240,2022-01-30,4,0.21,11.55
228,308,2021-09-20,7,0.25,4.37
229,3502,2022-01-21,5,0.79,2.33
230,2991,2022-07-15,6,0.32,6.15
231,3768,2022-12-15,9,0.59,5.46
232,1712,2022-08-15,4,0.17,11.72
233,124,2022-12-19,4,0.38,4.15
234,2134,2022-05-16,3,0.5,7.04
235,3724,2020-12-12,6,0.63,13.2
236,2516,2020-04-16,5,0.89,9.11
237,1038,2020-11-07,7,0.39,2.4
238,3747,2020-04-06,10,0.67,10.16
239,2625,2021-05-05,4,0.22,11.35
240,2824,2022-08-12,1,0.52,3.42
241,1589,2022-04-26,7,0.83,5.39
242,1650,2020-08-03,4,0.34,6.41
243,3898,2020-05-17,9,0.24,1.28
244,794,2021-03-20,6,0.54,3.48
245,2635,2021-11-17,5,0.42,14.06
246,2600,2023-02-11,7,0.27,6.55
247,3503,2021-09-10,1,0.78,5.11
248,702,2021-03-20,2,0.48,11.42
249,2462,2021-06-16,9,0.72,4.3
250,2291,2022-04-28,7,0.35,1.69
251,1872,2021-11-07,8,0.33,2.13
252,2678,2021-07-03,7,0.75,4.35
253,484,2020-08-16,1,0.28,2.33
254,2078,2021-04-28,7,0.43,11.76
255,2515,2021-06-27,3,0.89,14.6
256,3416,2020-11-08,5,0.39,5.45
257,3470,2022-03-30,5,0.7,8.47
258,1118,2020-09-26,8,0.59,13.97
259,2427,2023-03-03,3,0.23,9.05
260,3055,2022-09-22,2,0.61,8.16
261,3979,2022-02-10,7,0.16,6.36
262,2114,2021-07-03,1,0.69,12.07
263,3076,2021-09-06,7,0.81,5.15
264,2526,2021-03-05,1,0.61,7.19
265,3249,2020-07-10,6,0.26,12.61
266,3001,2021-07-05,2,0.83,11.07
267,3756,2021-10-17,5,0.32,14.5
268,1269,2022-09-19,7,0.6,8.64
269,761,2021-10-24,6,0.89,13.23
270,850,2021-10-04,3,0.83,7.03
271,782,2020-04-24,3,0.83,4.83
272,1058,2022-08-18,9,0.56,5.85
273,142,2020-06-19,1,0.47,12.2
274,738,2020-06-17,8,0.7,9.63
275,81,2020-11-12,1,0.24,10.26
276,721,2022-12-02,6,0.61,11.49
277,2605,2022-11-15,7,0.46,4.54
278,2889,2020-04-29,4,0.84,10.2
279,3195,2022-01-23,8,0.71,4.57
280,159,2022-09-23,6,0.39,11.3
281,1358,2021-09-26,3,0.55,12.19
282,2450,2021-07-18,3,0.33,11.62
283,343,2022-04-01,3,0.1,11.96
284,31,2021-01-30,9,0.16,12.01
285,2032,2021-08-03,1,0.51,13.03
286,3841,2022-01-20,3,0.19,7.17
287,96,2021-05-01,9,0.1,14.61
288,990,2020-10-28,7,0.59,3.33
289,627,2022-02-27,6,0.71,7.68
290,756,2023-03-05,3,0.32,13.85
291,3257,2020-11-02,4,0.81,5.13
292,1078,2022-10-09,4,0.75,10.63
293,440,2021-04-30,6,0.14,11.58
294,3789,2021-02-10,5,0.58,12.4
295,795,2022-01-02,9,0.28,14.44
296,2859,2022-12-04,1,0.71,14.04
297,735,2020-08-23,8,0.61,5.97
298,3578,2020-05-30,10,0.57,4.72
299,2641,2022-11-04,6,0.69,1.27
300,2983,2020-05-09,1,0.52,9.97
301,1285,2022-08-27,5,0.55,10.18
302,2282,2022-06-18,10,0.62,8.21
303,1546,2020-12-04,6,0.88,11.56
304,3686,2021-05-11,9,0.78,10.25
305,847,2021-08-16,10,0.12,5.41
306,1010,2020-06-28,3,0.83,7.53
307,1429,2022-12-28,2,0.15,1.73
308,1140,2022-06-20,5,0.31,9.01
309,1160,2020-09-28,10,0.19,2.0
310,1336,2021-05-16,8,0.85,12.96
311,722,2022-01-29,1,0.26,4.59
312,3871,2023-01-29,9,0.64,8.06
313,1150,2021-07-06,9,0.42,10.44
314,2840,2022-02-16,4,0.48,11.93
315,1523,2020-06-04,7,0.42,14.24
316,2378,2020-11-21,3,0.28,6.3
317,2171,2021-02-02,5,0.78,12.13
318,3487,2022-01-10,2,0.22,8.82
319,205,2020-04-10,1,0.25,8.23
320,1707,2022-02-13,9,0.61,5.98
321,1967,2021-07-04,9,0.64,9.2
322,3978,2020-09-22,1,0.34,9.13
323,3922,2022-05-05,2,0.42,2.91
324,370,2020-07-02,6,0.49,7.18
325,20,2022-01-25,7,0.43,5.06
326,1028,2020-04-20,1,0.27,11.37
327,3724,2020-12-17,4,0.42,8.33
328,3703,2020-12-26,6,0.22,12.68
329,2887,2021-10-16,2,0.3,4.42
330,1971,2020-12-20,5,0.23,12.62
331,1364,2021-09-04,4,0.7,4.08
332,1928,2021-08-15,10,0.71,6.01
333,2321,2021-02-09,6,0.21,10.77
334,3146,2023-01-22,1,0.52,8.52
335,2212,2023-01-18,4,0.24,12.28
336,2274,2020-08-03,4,0.33,13.11
337,3647,2021-01-18,2,0.3,12.34
338,2422,2021-05-01,5,0.46,5.61
339,363,2020-08-23,4,0.64,10.16
340,1837,2022-03-01,1,0.32,9.24
341,1414,2022-01-15,1,0.56,6.84
342,1138,2021-01-15,2,0.58,6.1
343,241,2021-01-16,6,0.56,14.24
344,1221,2022-07-28,10,0.41,11.92
345,3828,2020-05-14,4,0.72,4.51
346,1049,2022-09-12,8,0.26,13.56
347,2397,2021-09-21,10,0.18,1.72
348,1896,2021-07-09,5,0.75,10.88
349,3162,2020-07-17,6,0.44,9.95
350,3392,2022-05-04,1,0.48,10.99
351,963,2021-10-27,2,0.82,8.04
352,2535,2021-05-19,8,0.63,12.23
353,3209,2023-02-19,10,0.57,6.42
354,3924,2020-05-20,8,0.24,6.74
355,588,2020-08-28,2,0.19,4.69
356,2388,2021-11-25,8,0.9,13.84
357,68,2021-04-20,8,0.85,2.55
358,793,2022-02-27,7,0.36,7.68
359,1265,2022-11-10,9,0.77,8.75
360,3310,2020-05-27,10,0.77,3.33
361,727,2021-09-28,9,0.6,12.87
362,3689,2022-08-02,6,0.83,3.3
363,3194,2021-05-22,10,0.15,13.31
364,2047,2022-08-10,9,0.33,11.07
365,197,2020-12-12,9,0.72,13.26
366,2072,2022-08-09,8,0.67,1.86
367,3017,2020-09-24,4,0.46,6.83
368,2354,2022-02-22,9,0.36,8.92
369,1091,2021-01-17,1,0.49,2.73
370,1674,2022-11-10,5,0.3,10.94
371,1790,2021-02-12,5,0.7,1.03
372,2921,2021-02-23,5,0.13,7.22
373,65,2022-11-06,1,0.22,11.84
374,3381,2021-12-22,1,0.68,5.37
375,456,2022-11-17,8,0.71,9.5
376,1344,2022-12-06,10,0.43,11.37
377,3801,2020-09-08,9,0.5,13.58
378,1335,2020-05-11,3,0.46,3.89
379,2582,2022-07-23,5,0.9,10.96
380,2229,2020-12-11,10,0.22,13.09
381,3550,2022-09-26,10,0.48,3.73
382,2433,2022-01-18,7,0.6,13.28
383,3839,2023-01-08,8,0.69,6.13
384,3250,2023-01-22,9,0.66,14.16
385,3621,2021-10-02,8,0.83,13.74
386,2959,2022-02-04,4,0.88,11.43
387,1143,2020-09-17,6,0.62,9.26
388,1061,2020-10-30,8,0.47,8.82
389,846,2020-07-04,7,0.1,9.89
390,1033,2021-11-16,5,0.84,10.81
391,1393,2021-06-17,1,0.87,3.21
392,3107,2021-11-22,1,0.14,2.69
393,2968,2021-06-06,7,0.65,12.85
394,1361,2021-12-27,6,0.22,11.87
395,3821,2022-04-15,8,0.19,3.18
396,1134,2021-11-06,10,0.89,11.29
397,647,2021-05-09,2,0.45,3.98
398,2140,2022-03-22,1,0.43,12.15
399,776,2022-08-11,3,0.9,7.42
400,923,2021-10-05,10,0.83,10.63
401,2625,2021-11-16,9,0.54,2.41
402,2235,2020-12-20,8,0.42,14.06
403,1856,2021-08-28,8,0.13,11.34
404,548,2020-06-14,4,0.86,6.55
405,3278,2022-08-11,10,0.15,8.14
406,3764,2021-05-12,5,0.81,2.77
407,2101,2021-10-01,1,0.76,6.38
408,3508,2020-06-30,9,0.23,10.15
409,1227,2023-02-22,7,0.6,6.47
410,425,2020-07-30,6,0.67,10.84
411,1264,2023-01-03,3,0.41,1.91
412,2014,2021-07-19,1,0.66,13.19
413,320,2021-04-20,4,0.17,2.89
414,3983,2022-09-09,7,0.41,7.1
415,2332,2022-09-19,5,0.62,5.54
416,2232,2022-08-26,5,0.23,14.6
417,1984,2020-11-28,7,0.88,4.89
418,2523,2021-10-06,4,0.66,14.23
419,882,2022-03-29,7,0.83,7.53
420,290,2020-04-25,6,0.54,1.95
421,2855,2022-09-19,1,0.86,7.34
422,1255,2022-09-17,2,0.28,11.86
423,3287,2020-12-22,9,0.71,13.78
424,96,2022-06-09,7,0.34,5.65
425,2813,2022-01-31,3,0.43,5.41
426,6,2020-10-04,8,0.11,11.29
427,2100,2020-04-13,8,0.11,14.5
428,2518,2020-11-11,10,0.86,1.51
429,3515,2022-06-19,9,0.49,12.17
430,1318,2021-09-17,2,0.2,3.67
431,3438,2022-12-03,10,0.77,14.54
432,3464,2021-09-03,10,0.45,3.43
433,3727,2020-09-14,9,0.42,3.11
434,321,2021-04-25,4,0.35,1.35
435,1280,2021-04-06,3,0.37,5.84
436,2160,2022-07-01,2,0.49,11.66
437,478,2023-02-15,8,0.66,6.09
438,2402,2020-11-24,4,0.48,8.29
439,2046,2021-08-14,6,0.27,12.69
440,445,2023-02-26,8,0.74,4.74
441,1884,2021-09-01,6,0.52,1.28
442,3175,2020-11-05,10,0.89,6.92
443,1306,2020-04-18,2,0.26,4.76
444,3673,2021-04-18,7,0.32,6.27
445,493,2021-01-14,3,0.85,12.26
446,2419,2023-02-09,6,0.3,12.37
447,1764,2022-07-21,5,0.82,11.83
448,1253,2021-12-27,9,0.18,14.85
449,2573,2021-09-07,5,0.52,2.51
450,1368,2022-08-25,8,0.16,8.82
451,3890,2020-10-01,1,0.72,8.78
452,2333,2022-07-13,4,0.46,12.07
453,1612,2020-10-07,9,0.63,13.84
454,3301,2022-08-23,3,0.82,8.21
455,3009,2022-07-01,10,0.3,11.19
456,3178,2020-05-25,1,0.36,8.59
457,1654,2021-09-24,10,0.8,5.62
458,3563,2021-01-14,1,0.54,4.75
459,1428,2022-07-03,4,0.33,12.75
460,3888,2021-02-13,1,0.54,11.38
461,546,2022-10-27,6,0.4,14.28
462,2249,2020-06-06,6,0.87,8.25
463,1567,2021-09-09,10,0.57,9.89
464,61,2021-01-28,4,0.9,2.36
465,2928,2020-04-24,10,0.34,1.31
466,1673,2022-02-02,2,0.23,14.38
467,2867,2022-04-30,7,0.87,12.61
468,3648,2021-03-07,3,0.5,3.09
469,215,2020-04-24,10,0.52,3.66
470,1129,2023-02-06,1,0.47,12.32
471,1860,2022-07-20,9,0.76,11.97
472,2521,2021-03-16,10,0.82,11.14
473,1414,2020-06-22,2,0.78,6.44
474,3495,2021-03-19,3,0.1,4.14
475,697,2022-08-22,7,0.4,14.56
476,3259,2022-06-29,8,0.67,13.2
477,3678,2021-06-24,7,0.38,12.91
478,414,2020-04-29,2,0.27,5.0
479,1951,2020-09-10,10,0.38,1.8
480,3223,2022-01-30,9,0.56,11.55
481,778,2022-12-17,2,0.42,5.92
482,2743,2022-04-08,7,0.22,11.14
483,2308,2022-03-22,6,0.25,13.43
484,3337,2021-12-16,4,0.12,14.95
485,576,2022-10-08,9,0.83,6.4
486,88,2020-11-08,3,0.43,13.5
487,754,2023-03-18,6,0.75,14.05
488,1776,2023-03-06,8,0.3,8.62
489,3718,2020-07-11,9,0.7,10.63
490,717,2022-09-21,4,0.56,5.37
491,547,2022-12-31,9,0.28,4.8
492,1085,2020-10-09,3,0.64,7.63
493,144,2020-04-27,6,0.55,13.99
494,3775,2021-08-24,10,0.24,7.07
495,3927,2020-04-20,6,0.4,3.75
496,1025,2022-05-01,10,0.43,2.99
497,2284,2020-09-05,7,0.65,2.94
498,1313,2022-09-16,9,0.29,12.29
499,1452,2022-03-13,6,0.28,4.56
500,2248,2020-05-25,4,0.59,9.5
501,3669,2022-10-22,6,0.61,7.58
502,2042,2021-10-02,1,0.23,14.47
503,2252,2022-04-24,9,0.11,13.05
504,3332,2021-06-30,2,0.64,1.37
505,1669,2021-07-21,10,0.34,13.15
506,3770,2021-09-24,3,0.7,10.25
507,1403,2021-06-05,5,0.31,4.12
508,28,2020-05-09,4,0.32,14.92
509,2508,2022-02-08,4,0.6,1.43
510,3595,2022-10-06,3,0.86,11.3
511,1975,2020-09-28,9,0.44,10.28
512,335,2021-07-25,8,0.79,9.92
513,2200,2021-04-20,7,0.61,14.44
514,3533,2022-06-02,8,0.49,9.89
515,22,2022-03-08,2,0.16,13.21
516,1976,2022-02-04,1,0.54,8.13
517,1440,2022-04-02,8,0.78,3.43
518,2406,2021-02-16,2,0.61,7.26
519,695,2022-08-06,10,0.7,10.02
520,3675,2022-12-26,5,0.21,5.54
521,1444,2021-07-19,4,0.85,2.82
522,1985,2021-04-17,3,0.39,11.7
523,1680,2020-09-28,8,0.72,7.38
524,3492,2023-03-11,6,0.46,5.75
525,2841,2022-12-11,2,0.63,8.3
526,2723,2021-08-07,3,0.17,14.1
527,958,2021-10-31,9,0.35,14.93
528,2477,2022-01-02,7,0.25,4.22
529,3505,2022-05-10,9,0.49,12.65
530,3839,2022-01-20,3,0.75,1.22
531,1095,2022-11-01,8,0.36,10.63
532,3689,2021-08-02,9,0.3,10.29
533,1248,2022-10-19,5,0.46,7.65
534,3257,2022-03-19,10,0.66,11.11
535,905,2022-11-27,10,0.24,5.76
536,2289,2020-12-10,1,0.22,14.63
537,1180,2022-08-23,5,0.43,12.93
538,569,2021-11-07,10,0.86,6.76
539,3252,2021-01-05,8,0.52,12.1
540,3394,2021-12-27,10,0.51,7.08
541,247,2021-03-18,2,0.8,13.18
542,973,2020-12-11,10,0.67,11.92
543,1582,2022-04-10,10,0.21,14.61
544,2211,2021-03-06,9,0.37,7.14
545,385,2020-12-17,6,0.87,1.72
546,1525,2021-05-16,5,0.47,7.92
547,2821,2021-03-21,7,0.21,10.45
548,1028,2022-04-30,10,0.4,12.63
549,1281,2020-06-06,10,0.85,13.29
550,719,2021-01-22,10,0.17,7.7
551,1299,2023-02-15,3,0.12,8.7
552,3710,2022-12-12,1,0.73,2.36
553,639,2022-11-13,3,0.5,6.71
554,3642,2020-08-01,10,0.15,3.55
555,2052,2022-09-04,6,0.49,9.21
556,3509,2023-01-31,5,0.79,11.74
557,2326,2020-06-02,10,0.66,7.23
558,3658,2021-08-21,9,0.11,10.98
559,1202,2021-12-27,9,0.66,13.6
560,2920,2021-12-21,3,0.63,7.77
561,1702,2021-08-12,10,0.87,6.93
562,2379,2023-02-26,10,0.34,8.23
563,1375,2020-09-17,6,0.19,2.74
564,1882,2021-05-18,3,0.69,1.9
565,2551,2020-07-07,5,0.26,14.2
566,2613,2023-03-01,4,0.86,7.49
567,748,2021-03-29,8,0.5,3.98
568,2577,2021-07-23,7,0.74,11.77
569,1661,2021-01-23,8,0.36,3.9
570,133,2020-05-03,1,0.34,10.06
571,2263,2022-02-26,10,0.17,1.01
572,2526,2021-12-08,2,0.6,10.6
573,1795,2022-06-15,9,0.12,12.04
574,2517,2023-01-08,10,0.58,7.74
575,597,2021-03-25,7,0.41,10.91
576,2232,2020-11-20,10,0.71,12.66
577,1983,2022-09-14,8,0.22,12.83
578,3709,2022-05-28,8,0.2,14.1
579,2370,2022-02-19,4,0.39,6.92
580,248,2021-11-19,1,0.27,5.88
581,110,2023-03-16,7,0.84,12.87
582,1373,2022-07-30,6,0.67,13.37
583,709,2020-08-12,9,0.46,11.3
584,2456,2022-12-22,8,0.27,11.21
585,1986,2022-12-10,9,0.71,11.45
586,2640,2022-01-31,3,0.52,4.14
587,2145,2020-05-22,5,0.75,12.78
588,443,2021-10-03,7,0.7,14.51
589,3254,2022-12-01,3,0.64,2.23
590,983,2020-08-13,10,0.26,6.67
591,2879,2022-09-23,2,0.72,6.53
592,3911,2020-09-08,6,0.42,5.17
593,249,2022-04-02,10,0.79,1.54
594,165,2020-04-12,2,0.6,12.72
595,659,2020-12-05,7,0.27,1.23
596,2680,2023-02-22,4,0.41,10.95
597,2119,2021-05-22,1,0.39,2.08
598,3614,2021-01-15,1,0.46,7.47
599,1209,2021-04-05,5,0.77,8.02
600,2406,2022-01-25,4,0.69,6.1
601,2036,2021-04-09,8,0.7,14.91
602,3651,2022-02-15,10,0.43,14.03
603,1781,2021-04-24,3,0.71,9.34
604,3222,2023-01-23,9,0.41,7.45
605,1794,2021-03-01,6,0.39,8.24
606,318,2022-03-20,1,0.48,14.8
607,3422,2021-04-23,10,0.41,11.72
608,2491,2022-07-09,6,0.33,8.69
609,3921,2020-06-10,1,0.14,2.78
610,2530,2020-07-14,4,0.72,12.56
611,1088,2021-03-05,3,0.41,9.01
612,2237,2020-07-26,5,0.44,3.19
613,3858,2022-06-26,7,0.71,12.82
614,3487,2021-05-14,2,0.39,7.75
615,2678,2021-01-25,10,0.89,8.37
616,2716,2021-06-21,6,0.15,9.27
617,102,2020-07-26,2,0.48,10.33
618,973,2021-01-18,6,0.55,3.19
619,415,2021-09-18,6,0.39,2.82
620,3551,2023-02-11,6,0.55,10.35
621,1449,2022-04-19,4,0.1,10.34
622,1355,2020-10-03,9,0.72,10.99
623,987,2022-02-09,4,0.74,6.0
624,2613,2022-08-21,9,0.78,8.38
625,718,2020-11-08,2,0.4,13.51
626,2234,2022-01-04,10,0.62,5.2
627,2199,2020-10-11,7,0.52,5.34
628,350,2020-07-11,5,0.43,10.46
629,618,2020-09-16,1,0.46,3.11
630,3414,2021-06-20,4,0.18,1.14
631,169,2022-03-18,9,0.86,11.16
632,3316,2021-11-15,9,0.54,14.08
633,2093,2020-12-21,6,0.42,5.35
634,1392,2020-05-10,1,0.7,5.74
635,1997,2022-02-21,1,0.36,1.15
636,3053,2021-02-13,9,0.82,8.78
637,3825,2021-05-02,8,0.58,12.25
638,1317,2022-03-18,5,0.5,2.11
639,1492,2022-07-16,8,0.53,11.81
