ResponseID,CustomerID,CampaignID,ResponseDate,Action
110,2734,41,2021-07-16,Ignored
111,3478,29,2020-06-24,Ignored
112,2733,56,2022-12-13,Visited Website
113,2529,57,2021-10-29,Purchased
114,222,4,2021-09-16,Visited Website
115,2278,27,2022-12-06,Ignored
116,1310,1,2021-07-10,Purchased
117,603,9,2022-05-25,Visited Website
118,3285,38,2021-11-08,Purchased
119,619,55,2021-10-13,Ignored
120,2152,36,2021-06-21,Ignored
121,1346,52,2023-02-24,Ignored
122,1855,24,2021-06-28,Clicked
123,2102,32,2020-11-26,Purchased
124,1418,53,2020-10-05,Ignored
125,2921,27,2022-12-19,Ignored
126,2935,5,2023-03-19,Ignored
127,3846,30,2022-07-11,Visited Website
128,260,42,2022-09-27,Ignored
129,2055,42,2022-10-02,Visited Website
130,2736,20,2021-02-28,Ignored
131,3820,18,2022-03-01,Purchased
132,365,13,2022-12-06,Clicked
133,2891,5,2023-03-19,Visited Website
134,755,51,2022-01-30,Clicked
135,3207,51,2022-02-12,Visited Website
136,3391,16,2021-08-20,Purchased
137,122,28,2020-11-20,Clicked
138,3562,24,2021-07-16,Clicked
139,3350,46,2021-11-13,Purchased
140,2630,26,2022-04-12,Clicked
141,2015,14,2022-07-25,Clicked
142,2676,45,2021-12-31,Purchased
143,1912,52,2023-02-26,Visited Website
144,719,39,2020-07-03,Purchased
145,1314,59,2021-12-03,Visited Website
146,388,12,2020-05-21,Visited Website
147,3729,46,2021-11-12,Purchased
148,1210,59,2021-11-21,Purchased
149,3004,40,2022-04-03,Ignored
150,1273,25,2021-10-19,Visited Website
151,2831,54,2020-08-17,Visited Website
152,993,54,2020-08-22,Purchased
153,915,45,2021-12-24,Purchased
154,99,52,2023-02-23,Purchased
155,3690,18,2022-02-27,Purchased
156,3101,28,2020-11-27,Ignored
157,548,14,2022-08-02,Visited Website
158,2209,54,2020-08-24,Ignored
159,2502,45,2022-01-01,Purchased
160,1132,60,2022-02-17,Clicked
161,949,53,2020-09-27,Visited Website
162,2939,60,2022-02-26,Visited Website
163,1436,9,2022-05-22,Clicked
164,3886,59,2021-12-14,Clicked
165,749,7,2023-01-15,Clicked
166,2296,22,2022-05-05,Clicked
167,87,51,2022-02-23,Clicked
168,3558,17,2022-07-08,Ignored
169,3432,15,2021-08-16,Visited Website
170,1215,38,2021-11-02,Visited Website
171,2151,7,2023-01-15,Clicked
172,2910,14,2022-07-19,Visited Website
173,943,7,2023-01-20,Purchased
174,3730,20,2021-02-25,Purchased
175,1461,18,2022-02-28,Visited Website
176,3908,45,2022-01-04,Ignored
177,3665,7,2023-01-22,Ignored
178,319,53,2020-10-01,Visited Website
179,1979,60,2022-02-22,Purchased
180,3635,12,2020-05-30,Visited Website
181,3176,15,2021-08-16,Ignored
182,1065,28,2020-11-20,Ignored
183,2573,34,2020-10-06,Ignored
184,2101,3,2021-01-14,Clicked
185,2074,31,2020-05-14,Visited Website
186,3397,2,2020-06-02,Visited Website
187,585,41,2021-07-23,Clicked
188,2634,16,2021-08-31,Clicked
189,827,45,2021-12-24,Purchased
190,11,31,2020-05-24,Visited Website
191,3061,59,2021-11-17,Clicked
192,2321,60,2022-03-01,Visited Website
193,2348,42,2022-09-24,Ignored
194,3358,53,2020-09-27,Ignored
195,945,14,2022-07-28,Clicked
196,913,36,2021-06-21,Clicked
197,2537,1,2021-07-07,Ignored
198,2425,1,2021-07-21,Ignored
199,116,15,2021-08-20,Visited Website
200,879,40,2022-04-08,Purchased
201,142,44,2020-10-09,Ignored
202,3867,38,2021-10-29,Visited Website
203,3030,51,2022-02-15,Visited Website
204,1146,27,2022-12-12,Ignored
205,544,54,2020-08-12,Ignored
206,3211,24,2021-07-10,Visited Website
207,3241,10,2022-08-06,Purchased
208,1287,32,2020-11-25,Purchased
209,2252,57,2021-10-26,Visited Website
210,491,56,2022-12-21,Clicked
211,1130,34,2020-10-05,Ignored
212,2564,45,2021-12-28,Purchased
213,3803,10,2022-08-06,Clicked
214,2491,46,2021-11-14,Ignored
215,911,35,2020-05-12,Visited Website
216,3051,32,2020-12-02,Visited Website
217,3180,50,2020-10-14,Ignored
218,2897,10,2022-08-17,Clicked
219,558,20,2021-03-01,Purchased
220,216,33,2021-07-12,Visited Website
221,2630,41,2021-07-21,Ignored
222,2102,1,2021-07-18,Visited Website
223,2018,12,2020-05-19,Visited Website
224,3114,15,2021-08-14,Clicked
225,2079,57,2021-10-23,Purchased
226,2171,18,2022-03-01,Visited Website
227,1151,47,2020-05-19,Ignored
228,3385,29,2020-06-14,Purchased
229,1006,60,2022-02-28,Ignored
230,2909,46,2021-11-12,Ignored
231,3315,2,2020-06-17,Clicked
232,1526,18,2022-03-01,Visited Website
233,568,8,2022-11-17,Ignored
234,364,60,2022-02-21,Purchased
235,369,57,2021-10-22,Clicked
236,1952,33,2021-07-04,Visited Website
237,2392,60,2022-02-22,Purchased
238,3135,9,2022-05-27,Ignored
239,2435,57,2021-10-27,Clicked
240,93,19,2020-12-11,Purchased
241,2329,26,2022-04-08,Purchased
242,669,60,2022-02-08,Clicked
243,1929,60,2022-02-22,Visited Website
244,502,60,2022-02-12,Ignored
245,3483,5,2023-03-25,Visited Website
246,1610,30,2022-07-23,Purchased
247,1349,19,2020-11-30,Ignored
248,1018,60,2022-02-18,Purchased
249,1113,16,2021-08-24,Ignored
250,2409,33,2021-07-11,Purchased
251,887,21,2021-09-26,Ignored
252,318,45,2021-12-29,Ignored
253,1897,54,2020-08-15,Visited Website
254,1505,2,2020-06-07,Ignored
255,3414,45,2021-12-26,Purchased
256,3782,46,2021-11-15,Clicked
257,3079,42,2022-09-28,Purchased
258,135,11,2020-07-10,Clicked
259,2096,23,2022-06-09,Ignored
260,1000,1,2021-07-20,Visited Website
261,2882,19,2020-12-14,Clicked
262,232,46,2021-11-13,Purchased
263,506,47,2020-04-27,Visited Website
264,3578,16,2021-08-26,Clicked
265,140,54,2020-08-22,Clicked
266,285,51,2022-02-07,Clicked
267,2428,57,2021-10-31,Purchased
268,3285,53,2020-10-05,Ignored
269,484,25,2021-10-17,Ignored
270,2972,48,2022-06-22,Visited Website
271,2216,35,2020-05-15,Ignored
272,3680,50,2020-10-06,Visited Website
273,3962,33,2021-07-13,Visited Website
274,1878,52,2023-03-02,Clicked
275,3239,2,2020-06-03,Ignored
276,2319,28,2020-11-22,Clicked
277,3833,55,2021-10-03,Purchased
278,3989,26,2022-04-09,Visited Website
279,1404,51,2022-02-08,Visited Website
280,1582,24,2021-07-05,Ignored
281,1917,9,2022-05-24,Visited Website
282,2161,24,2021-07-15,Ignored
283,595,18,2022-02-27,Visited Website
284,3058,1,2021-07-10,Visited Website
285,2923,21,2021-09-16,Clicked
286,3208,41,2021-07-19,Clicked
287,783,10,2022-08-03,Visited Website
288,101,19,2020-12-11,Clicked
289,949,57,2021-10-30,Purchased
290,1232,53,2020-09-26,Purchased
291,3260,59,2021-11-20,Clicked
292,417,48,2022-06-27,Ignored
293,3228,10,2022-08-12,Clicked
294,1224,56,2022-12-25,Purchased
295,655,8,2022-11-23,Visited Website
296,2950,38,2021-10-29,Ignored
297,1740,39,2020-07-12,Ignored
298,26,22,2022-05-09,Visited Website
299,2972,47,2020-05-09,Clicked
300,481,9,2022-05-25,Clicked
301,2250,28,2020-11-19,Clicked
302,2997,24,2021-06-28,Ignored
303,464,35,2020-05-09,Clicked
304,3876,20,2021-03-12,Ignored
305,1824,26,2022-04-11,Purchased
306,3124,58,2022-12-10,Purchased
307,1006,48,2022-06-25,Purchased
308,2679,58,2022-12-10,Ignored
309,997,17,2022-07-16,Purchased
310,463,31,2020-05-21,Visited Website
311,1592,47,2020-04-28,Visited Website
312,357,34,2020-10-06,Clicked
313,1309,32,2020-11-28,Clicked
314,2493,24,2021-06-28,Purchased
315,2904,14,2022-07-27,Ignored
316,3022,32,2020-11-28,Ignored
317,1084,46,2021-11-16,Clicked
318,511,15,2021-08-17,Clicked
319,3521,20,2021-02-25,Purchased
320,639,39,2020-07-08,Ignored
321,1102,31,2020-05-17,Visited Website
322,3710,4,2021-09-17,Purchased
323,1952,47,2020-04-30,Clicked
324,1848,58,2022-12-09,Clicked
325,1869,30,2022-06-27,Clicked
326,1383,52,2023-02-27,Clicked
327,2920,19,2020-11-28,Purchased
328,2306,11,2020-08-01,Ignored
329,894,41,2021-07-16,Ignored
330,2164,9,2022-05-22,Visited Website
331,2043,52,2023-02-26,Clicked
332,315,15,2021-08-13,Clicked
333,3231,13,2022-12-06,Ignored
334,1845,29,2020-06-19,Clicked
335,1503,52,2023-02-22,Visited Website
336,2760,50,2020-10-06,Clicked
337,1531,19,2020-12-01,Ignored
338,2828,47,2020-05-15,Clicked
339,1306,36,2021-07-01,Purchased
340,1819,46,2021-11-11,Visited Website
341,142,34,2020-10-12,Ignored
342,2744,57,2021-10-31,Clicked
343,1756,32,2020-11-27,Ignored
344,1622,32,2020-11-25,Ignored
345,1758,13,2022-12-11,Clicked
346,1318,59,2021-12-08,Clicked
347,906,20,2021-03-02,Purchased
348,1532,36,2021-06-29,Visited Website
349,1944,37,2020-08-18,Visited Website
350,483,7,2023-01-12,Clicked
351,3441,9,2022-05-22,Visited Website
352,1609,8,2022-11-22,Visited Website
353,2545,58,2022-12-07,Clicked
354,2018,45,2021-12-25,Visited Website
355,3132,10,2022-08-10,Clicked
356,2604,49,2023-02-17,Clicked
357,2301,15,2021-08-19,Ignored
358,1680,51,2022-02-15,Purchased
359,999,55,2021-10-07,Purchased
360,1762,15,2021-08-14,Purchased
361,3279,4,2021-09-13,Ignored
362,3713,44,2020-10-07,Clicked
363,1703,15,2021-08-17,Visited Website
364,2560,25,2021-10-30,Clicked
365,2774,35,2020-05-08,Visited Website
366,3456,40,2022-04-02,Clicked
367,2910,34,2020-10-09,Purchased
368,1640,7,2023-01-22,Purchased
369,282,17,2022-07-08,Purchased
370,138,32,2020-11-28,Purchased
371,1132,24,2021-07-24,Clicked
372,3343,42,2022-09-28,Purchased
373,10,34,2020-10-10,Ignored
374,3350,36,2021-06-30,Ignored
375,2462,30,2022-07-11,Purchased
376,2277,48,2022-07-06,Purchased
377,1277,24,2021-07-05,Clicked
378,3669,50,2020-10-15,Ignored
379,1075,55,2021-09-30,Clicked
380,2234,60,2022-02-14,Clicked
381,1078,45,2022-01-05,Purchased
382,1782,38,2021-11-10,Visited Website
383,1885,30,2022-07-06,Clicked
384,2049,38,2021-10-28,Visited Website
385,734,20,2021-03-04,Visited Website
386,132,28,2020-11-28,Ignored
387,13,15,2021-08-16,Ignored
388,1764,56,2022-12-29,Visited Website
389,1465,14,2022-08-03,Purchased
390,3020,14,2022-08-09,Visited Website
391,1972,32,2020-11-30,Ignored
392,2084,31,2020-05-11,Clicked
393,1401,49,2023-02-28,Visited Website
394,922,53,2020-10-05,Visited Website
395,3355,34,2020-10-12,Clicked
396,1073,58,2022-12-09,Clicked
397,3558,11,2020-07-29,Purchased
398,1987,22,2022-05-02,Visited Website
399,673,55,2021-10-10,Purchased
400,2312,9,2022-05-24,Clicked
401,424,7,2023-01-24,Purchased
402,2803,59,2021-11-16,Clicked
403,2507,38,2021-11-12,Visited Website
404,1756,54,2020-08-20,Ignored
405,516,8,2022-11-14,Clicked
406,1433,48,2022-07-01,Visited Website
407,3335,51,2022-02-15,Ignored
408,2136,10,2022-08-21,Visited Website
409,1859,22,2022-05-03,Clicked
410,3727,58,2022-12-08,Purchased
411,849,47,2020-05-16,Clicked
412,654,18,2022-02-26,Clicked
413,1741,42,2022-09-22,Visited Website
414,1830,14,2022-07-19,Clicked
415,953,55,2021-09-25,Clicked
416,1563,27,2022-12-05,Clicked
417,2901,28,2020-11-27,Clicked
418,14,45,2021-12-24,Purchased
419,2796,26,2022-04-26,Purchased
420,2911,39,2020-07-10,Purchased
421,766,44,2020-10-04,Purchased
422,3013,7,2023-01-09,Clicked
423,2676,51,2022-02-18,Purchased
424,1580,52,2023-02-27,Ignored
425,1781,11,2020-08-07,Ignored
426,2007,26,2022-04-05,Visited Website
427,1979,24,2021-07-14,Purchased
428,3346,2,2020-06-05,Clicked
429,1435,50,2020-10-09,Visited Website
430,3444,20,2021-02-25,Purchased
431,3808,25,2021-10-16,Purchased
432,286,7,2023-01-20,Clicked
433,3803,52,2023-03-02,Ignored
434,2983,10,2022-08-12,Ignored
435,2000,11,2020-07-20,Visited Website
436,770,22,2022-04-27,Clicked
437,3872,29,2020-06-16,Clicked
438,560,37,2020-08-14,Visited Website
439,1766,25,2021-10-26,Clicked
440,2294,15,2021-08-14,Visited Website
441,1108,11,2020-07-14,Clicked
442,3000,11,2020-08-03,Ignored
443,101,38,2021-10-27,Ignored
444,3172,21,2021-09-16,Clicked
445,753,27,2022-12-13,Ignored
446,1649,34,2020-10-04,Purchased
447,532,1,2021-07-07,Clicked
448,1175,26,2022-04-18,Clicked
449,1373,26,2022-04-24,Purchased
450,1921,50,2020-10-02,Clicked
451,560,45,2021-12-25,Purchased
452,200,22,2022-04-29,Visited Website
453,438,32,2020-11-29,Clicked
454,1645,59,2021-11-22,Clicked
455,2203,28,2020-12-01,Visited Website
456,3964,21,2021-09-15,Ignored
457,803,22,2022-04-25,Clicked
458,2976,50,2020-10-16,Clicked
459,1327,39,2020-07-04,Ignored
460,1510,17,2022-07-13,Ignored
461,1638,31,2020-05-29,Visited Website
462,3673,8,2022-11-22,Clicked
463,3318,43,2021-05-02,Clicked
464,3849,56,2023-01-11,Visited Website
465,2798,6,2022-07-25,Clicked
466,496,29,2020-06-16,Ignored
467,488,42,2022-09-19,Clicked
468,3142,24,2021-07-03,Purchased
469,1713,40,2022-04-13,Ignored
470,1303,4,2021-09-05,Visited Website
471,192,51,2022-02-06,Ignored
472,2453,18,2022-02-28,Ignored
473,1279,11,2020-08-02,Ignored
474,1789,47,2020-05-18,Ignored
475,2313,33,2021-06-26,Clicked
476,1326,8,2022-11-16,Visited Website
477,3508,32,2020-11-29,Clicked
478,850,10,2022-08-05,Ignored
479,101,48,2022-06-28,Clicked
480,2538,58,2022-12-09,Visited Website
481,755,24,2021-07-02,Purchased
482,2316,46,2021-11-13,Visited Website
483,890,43,2021-04-30,Ignored
484,907,6,2022-07-12,Ignored
485,2530,8,2022-11-12,Visited Website
486,2558,37,2020-08-21,Visited Website
487,1799,37,2020-08-22,Purchased
488,2310,34,2020-09-25,Ignored
489,1436,39,2020-07-08,Clicked
490,98,9,2022-05-26,Visited Website
491,2823,31,2020-05-12,Ignored
492,1840,24,2021-07-09,Purchased
493,1841,5,2023-03-23,Ignored
494,946,46,2021-11-14,Clicked
495,737,1,2021-07-09,Ignored
496,3725,4,2021-08-25,Purchased
497,2119,36,2021-06-26,Clicked
498,448,49,2023-02-16,Ignored
499,1100,42,2022-09-18,Ignored
500,2633,22,2022-04-26,Visited Website
501,644,28,2020-11-27,Visited Website
502,718,10,2022-08-15,Visited Website
503,3629,12,2020-05-15,Purchased
504,376,48,2022-06-25,Ignored
505,1231,57,2021-10-25,Purchased
506,847,45,2022-01-03,Ignored
507,511,11,2020-08-05,Visited Website
508,2471,20,2021-03-01,Visited Website
509,814,44,2020-10-02,Visited Website
510,1108,50,2020-10-10,Clicked
511,1678,48,2022-06-24,Ignored
512,3281,10,2022-08-15,Purchased
513,3681,18,2022-03-01,Clicked
514,3471,16,2021-09-01,Clicked
515,1463,35,2020-05-12,Visited Website
516,2956,60,2022-02-11,Ignored
517,3128,23,2022-06-02,Visited Website
518,1678,32,2020-12-01,Purchased
519,2579,31,2020-05-08,Visited Website
520,1147,26,2022-04-27,Clicked
521,3254,56,2022-12-24,Visited Website
522,172,45,2021-12-30,Ignored
523,3699,29,2020-06-13,Visited Website
524,160,14,2022-07-29,Ignored
525,2825,55,2021-09-22,Clicked
526,31,52,2023-02-22,Purchased
527,2141,43,2021-04-17,Visited Website
528,1708,33,2021-07-17,Purchased
529,2847,21,2021-09-18,Visited Website
530,2167,58,2022-12-05,Visited Website
531,1683,11,2020-07-13,Clicked
532,2652,20,2021-03-10,Clicked
533,1347,53,2020-10-05,Visited Website
534,1137,7,2023-01-18,Visited Website
535,273,1,2021-07-21,Purchased
536,432,28,2020-12-02,Visited Website
537,3434,33,2021-07-16,Visited Website
538,3305,31,2020-05-04,Clicked
539,3951,50,2020-10-11,Purchased
540,3649,2,2020-06-03,Ignored
541,337,8,2022-11-20,Purchased
542,2235,41,2021-07-27,Ignored
543,1067,24,2021-07-01,Visited Website
544,2107,39,2020-07-02,Visited Website
545,1025,31,2020-05-31,Visited Website
546,717,18,2022-02-28,Clicked
547,1473,20,2021-03-18,Clicked
548,986,48,2022-06-30,Visited Website
549,442,23,2022-05-27,Ignored
550,856,7,2023-01-17,Visited Website
551,2220,32,2020-11-30,Purchased
552,2614,20,2021-03-14,Visited Website
553,3875,7,2023-01-17,Visited Website
554,1803,8,2022-11-23,Ignored
555,2094,9,2022-05-25,Clicked
556,3733,43,2021-04-17,Purchased
557,2817,13,2022-12-14,Clicked
558,2793,41,2021-07-20,Ignored
559,1100,60,2022-02-18,Visited Website
560,2221,30,2022-07-23,Purchased
561,461,15,2021-08-12,Purchased
562,1101,21,2021-09-24,Clicked
563,882,44,2020-10-08,Purchased
564,494,21,2021-09-21,Ignored
565,1913,50,2020-10-05,Purchased
566,955,43,2021-04-18,Ignored
567,2385,43,2021-04-23,Purchased
568,2569,37,2020-08-13,Purchased
569,1343,13,2022-12-12,Ignored
570,1565,19,2020-12-01,Purchased
571,145,17,2022-07-12,Ignored
572,3495,51,2022-02-04,Visited Website
573,1777,40,2022-03-29,Clicked
574,3204,27,2022-12-16,Clicked
575,372,6,2022-07-30,Ignored
576,861,59,2021-11-20,Ignored
577,1033,4,2021-09-05,Visited Website
578,649,20,2021-03-04,Clicked
579,2139,42,2022-10-02,Visited Website
580,1539,2,2020-05-31,Purchased
581,3247,48,2022-06-26,Clicked
582,333,34,2020-10-10,Ignored
583,3680,33,2021-06-22,Clicked
584,2789,39,2020-07-09,Ignored
585,1375,38,2021-10-30,Purchased
586,3493,44,2020-09-29,Clicked
587,3763,47,2020-04-24,Ignored
588,2921,37,2020-08-20,Purchased
589,441,9,2022-05-30,Ignored
590,3347,10,2022-08-17,Purchased
591,889,12,2020-05-27,Clicked
592,1662,25,2021-10-20,Purchased
593,2417,32,2020-11-26,Clicked
594,1387,60,2022-02-17,Ignored
595,856,45,2021-12-22,Ignored
596,2621,1,2021-07-12,Visited Website
597,2884,45,2021-12-22,Clicked
598,2303,54,2020-08-27,Ignored
599,806,4,2021-08-31,Purchased
600,1301,14,2022-08-03,Ignored
601,1945,13,2022-12-08,Purchased
602,2730,38,2021-11-07,Purchased
603,3641,42,2022-09-24,Purchased
604,1410,28,2020-11-30,Purchased
605,3022,14,2022-08-08,Clicked
606,620,55,2021-10-01,Clicked
607,1722,42,2022-10-03,Clicked
608,1441,12,2020-05-21,Purchased
609,3705,31,2020-05-29,Ignored
610,3710,4,2021-09-17,Ignored
611,3912,52,2023-03-04,Purchased
612,498,45,2022-01-03,Clicked
613,432,18,2022-02-28,Ignored
614,2310,10,2022-08-04,Clicked
615,1321,22,2022-04-24,Ignored
616,500,49,2023-02-12,Clicked
617,1082,3,2021-01-11,Visited Website
618,24,58,2022-12-07,Purchased
619,2020,22,2022-04-28,Ignored
620,3280,5,2023-03-18,Purchased
621,1533,34,2020-09-27,Visited Website
622,1792,49,2023-02-28,Visited Website
623,2835,27,2022-12-12,Purchased
624,2161,57,2021-10-24,Ignored
625,2893,51,2022-02-02,Clicked
626,663,9,2022-05-28,Purchased
627,2854,40,2022-04-06,Clicked
628,815,12,2020-05-15,Clicked
629,1165,27,2022-12-07,Visited Website
630,1462,45,2022-01-04,Purchased
631,506,16,2021-08-30,Purchased
632,2654,22,2022-05-09,Clicked
633,2516,43,2021-05-02,Purchased
634,2973,39,2020-07-04,Visited Website
635,565,46,2021-11-13,Clicked
636,3462,35,2020-05-02,Clicked
637,550,40,2022-03-28,Clicked
638,1460,14,2022-07-21,Clicked
639,2901,15,2021-08-14,Visited Website
640,637,31,2020-06-01,Purchased
641,441,19,2020-12-03,Ignored
642,628,2,2020-06-13,Purchased
643,567,48,2022-06-29,Visited Website
644,1330,2,2020-06-11,Ignored
645,37,26,2022-04-23,Visited Website
646,509,18,2022-02-27,Visited Website
647,658,46,2021-11-13,Purchased
648,1280,14,2022-07-24,Ignored
649,524,32,2020-12-01,Ignored
650,1887,13,2022-12-04,Visited Website
651,2666,3,2021-01-27,Visited Website
652,1598,43,2021-04-29,Ignored
653,3484,27,2022-12-13,Ignored
654,164,4,2021-09-07,Purchased
655,2619,24,2021-07-15,Visited Website
656,1552,13,2022-12-16,Purchased
657,307,7,2023-01-13,Ignored
658,3729,38,2021-11-07,Purchased
659,2810,54,2020-08-25,Purchased
660,1770,18,2022-02-25,Visited Website
661,2005,41,2021-07-16,Purchased
662,904,49,2023-02-18,Ignored
663,3077,4,2021-09-19,Ignored
664,1437,53,2020-09-27,Ignored
665,538,60,2022-02-25,Purchased
666,3570,25,2021-10-17,Purchased
667,1174,21,2021-09-24,Ignored
668,3630,14,2022-07-29,Purchased
669,2361,44,2020-10-04,Ignored
670,2372,56,2023-01-01,Clicked
671,850,44,2020-10-08,Clicked
672,3421,50,2020-10-16,Visited Website
673,1701,50,2020-10-14,Purchased
674,1706,57,2021-10-24,Clicked
675,455,32,2020-11-29,Ignored
676,3248,32,2020-11-28,Clicked
677,2414,2,2020-06-08,Purchased
678,2850,55,2021-10-03,Ignored
679,2744,4,2021-08-23,Ignored
680,2726,8,2022-11-15,Ignored
681,2094,23,2022-05-31,Purchased
682,2197,56,2023-01-08,Purchased
683,1904,37,2020-08-17,Visited Website
684,1776,19,2020-12-17,Purchased
685,3691,16,2021-08-30,Clicked
686,1708,43,2021-04-24,Ignored
687,288,10,2022-07-31,Visited Website
688,168,39,2020-07-02,Visited Website
689,1655,35,2020-05-17,Visited Website
690,1268,57,2021-10-31,Visited Website
691,563,16,2021-08-31,Visited Website
692,2204,43,2021-05-04,Visited Website
693,1506,51,2022-02-17,Clicked
694,1052,14,2022-07-19,Purchased
695,941,19,2020-11-23,Visited Website
696,345,5,2023-03-23,Ignored
697,1286,14,2022-07-23,Ignored
698,1407,18,2022-02-25,Visited Website
699,1625,27,2022-12-14,Clicked
700,3513,47,2020-04-29,Purchased
701,2051,24,2021-07-02,Clicked
702,2096,13,2022-12-17,Visited Website
703,2380,22,2022-04-24,Ignored
704,865,53,2020-10-04,Purchased
705,1352,10,2022-08-05,Clicked
706,2796,46,2021-11-14,Purchased
707,2050,41,2021-07-27,Visited Website
708,3434,19,2020-11-21,Ignored
709,1613,25,2021-10-17,Purchased
710,270,47,2020-05-01,Clicked
711,953,20,2021-03-05,Ignored
712,2477,12,2020-05-16,Purchased
713,2787,15,2021-08-12,Visited Website
714,472,8,2022-11-21,Purchased
715,1751,53,2020-10-04,Clicked
716,978,45,2021-12-31,Clicked
717,2306,18,2022-03-01,Visited Website
718,3421,43,2021-04-26,Ignored
719,52,14,2022-08-02,Clicked
720,1000,27,2022-12-14,Ignored
721,395,20,2021-03-07,Ignored
722,2659,59,2021-11-16,Purchased
723,1850,41,2021-07-17,Clicked
724,1526,47,2020-04-24,Clicked
725,388,22,2022-04-25,Clicked
726,1765,57,2021-10-25,Visited Website
727,3225,23,2022-06-01,Clicked
728,3163,22,2022-04-23,Ignored
729,1500,22,2022-04-25,Ignored
730,1480,53,2020-10-05,Ignored
731,2460,28,2020-12-03,Purchased
732,924,57,2021-10-30,Visited Website
733,1044,4,2021-09-01,Ignored
734,350,26,2022-04-27,Ignored
